iteration,rel_residual
0,1
1,0.76574
2,0.257468
3,0.0713329
4,0.0640447
5,0.0474787
6,0.0297417
7,0.0118591
8,0.0107539
9,0.00713461
10,0.00609678
11,0.0145891
12,0.0120717
13,0.0116747
14,0.00339341
15,0.00269212
16,0.00321196
17,0.00136765
18,0.000825379
19,0.000407301
20,0.000486955
21,0.000297361
22,0.000154749
23,7.9162e-05
24,2.91309e-05
25,1.14345e-05
26,3.94806e-06
27,1.51001e-06
28,1.35272e-06
29,5.88895e-07
30,3.46679e-07
31,1.76099e-07
32,1.02377e-07
33,4.92271e-08
34,3.4919e-08
35,2.51909e-08
36,1.20108e-08
37,5.90225e-09
38,2.29409e-09
39,7.97367e-10
40,2.66167e-10
